id,name,last_name,contact_number,date_of_birth,hire_date,hourly_rate
1,Esmée,Honing,(091)-9764682,1999-01-25,2023-06-01,13.27
2,Lois,Zeldenrust,0048-830404,1999-07-19,2023-06-01,13.27
3,Micha,Oude Heer,+31825-030966,2004-08-23,2023-09-02,7.96
4,Jolie,van Nederlotharingen,052-8715513,2006-07-18,2023-09-08,5.24
5,Senna,van Duivenvoorde,(026)-7919888,2002-08-23,2023-08-11,13.27
6,Lize,de Korte,(017) 9339973,1998-02-03,2023-08-20,13.27
7,Collin,de Grote,(065)-1233101,2003-10-07,2023-09-15,10.62
8,Johanna,Prins,+3112 5715586,2001-01-09,2023-08-26,13.27
9,Fatima,Janssen,+31(0)320-297117,2004-11-26,2023-07-30,7.96
10,Sofia,van Veen,+31418-279186,2000-08-24,2023-07-21,13.27
